Minute, Heart Rate/Min, Speed/Min
0, 74, 0.000
1, 73, 0.000
2, 74, 0.000
3, 73, 0.000
4, 73, 0.000
5, 74, 0.000
6, 74, 0.000
7, 74, 0.000
8, 74, 0.000
9, 74, 0.025
10, 74, 2.124
11, 74, 3.956
12, 76, 5.436
13, 77, 6.559
14, 81, 7.643
15, 81, 8.665
16, 83, 9.533
17, 84, 10.598
18, 85, 11.646
19, 87, 12.571
20, 88, 13.392
21, 91, 14.015
22, 91, 14.108
23, 94, 14.339
24, 95, 14.670
25, 96, 14.994
26, 96, 15.286
27, 95, 15.534
28, 95, 15.988
29, 95, 16.294
30, 95, 16.560
31, 95, 16.877
32, 94, 17.075
33, 92, 17.190
34, 92, 17.053
35, 92, 17.359
36, 92, 17.816
37, 92, 18.317
38, 92, 18.698
39, 92, 18.400
40, 92, 17.543
41, 92, 16.985
42, 92, 16.315
43, 92, 15.826
44, 92, 15.509
45, 92, 15.131
46, 93, 14.893
47, 96, 14.915
48, 96, 14.908
49, 97, 14.821
50, 99, 14.760
51, 102, 14.821
52, 104, 14.674
53, 106, 14.764
54, 106, 14.443
55, 105, 14.015
56, 106, 13.666
57, 106, 13.522
58, 107, 13.878
59, 108, 13.853
60, 109, 13.547
61, 110, 13.684
62, 111, 13.824
63, 111, 13.864
64, 112, 14.040
65, 113, 14.213
66, 114, 14.346
67, 114, 14.479
68, 115, 14.573
69, 116, 14.555
70, 116, 14.476
71, 117, 14.249
72, 117, 13.860
73, 117, 13.561
74, 117, 13.597
75, 117, 13.860
76, 117, 13.885
77, 117, 13.957
78, 117, 14.130
79, 117, 14.328
80, 117, 14.735
81, 116, 14.850
82, 116, 14.292
83, 116, 14.368
84, 117, 14.814
85, 117, 14.436
86, 118, 13.205
87, 118, 12.560
88, 118, 12.643
89, 118, 12.510
90, 117, 12.485
91, 116, 12.560
92, 115, 12.593
93, 115, 12.798
94, 114, 12.920
95, 114, 12.982
96, 114, 13.133
97, 114, 13.093
98, 114, 12.942
99, 114, 12.640
100, 114, 12.751
101, 114, 12.733
102, 114, 12.697
103, 114, 12.337
104, 114, 11.444
105, 114, 10.663
106, 113, 10.076
107, 113, 9.709
108, 112, 9.767
109, 112, 9.900
110, 112, 10.037
111, 111, 9.950
112, 111, 9.079
113, 111, 7.744
114, 109, 6.473
115, 108, 4.392
116, 106, 2.459
117, 105, 1.933
118, 104, 2.171
119, 102, 2.970
120, 102, 2.700
121, 102, 1.984
122, 102, 1.922
123, 102, 0.000
124, 100, 0.000
125, 100, 0.000
126, 99, 0.000
127, 97, 0.000
128, 96, 0.000
129, 94, 0.000
130, 93, 0.000
Average Speed: 10.0
Average Heart Rate: 101.0
Distance: 389.45
